compound,cas,group1,group2,group3,C,H,O,S,N,MW,anchor
Spiro[2.5]octane,000185-65-9,Alkane,Cycloalkane,2Ring,8,14,,,,110.2,nonane
"1H-Indene, octahydro-, trans-",003296-50-2,Alkane,Cycloalkane,2Ring,9,16,,,,124.227,nonane
"Bicyclo[2.2.1]heptane, 2-ethyl-",002146-41-0,Alkane,Cycloalkane,2Ring,9,16,,,,124.227,nonane
"Bicyclo[2.2.2]octane, 2-methyl-",000766-53-0,Alkane,Cycloalkane,2Ring,9,16,,,,124.227,nonane
Bicyclo[6.1.0]nonane,000286-60-2,Alkane,Cycloalkane,2Ring,9,16,,,,124.227,nonane
"1,1'-Bicyclopentyl",001636-39-1,Alkane,Cycloalkane,2Ring,10,18,,,,138.254,nonane
"1,1'-Bicyclopentyl",1636-39-1,Alkane,Cycloalkane,2Ring,10,18,,,,138.254,nonane
"1H-Indene, octahydro-5-methyl-",019744-64-0,Alkane,Cycloalkane,2Ring,10,18,,,,138.254,nonane
"Bicyclo[3.1.1]heptane, 2,6,6-trimethyl-",473-55-2,Alkane,Cycloalkane,2Ring,10,18,,,,138.254,nonane
"Bicyclo[4.1.0]heptane, 3,7,7-trimethyl-, [1S-(1à,3à,6à)]-",6069-97-2,Alkane,Cycloalkane,2Ring,10,18,,,,138.254,nonane
"Naphthalene, decahydro-, cis-",000493-01-6,Alkane,Cycloalkane,2Ring,10,18,,,,138.254,nonane
"Naphthalene, decahydro-, trans-",493-02-7,Alkane,Cycloalkane,2Ring,10,18,,,,138.254,nonane
"Naphthalene, decahydro-2-methyl-",002958-76-1,Alkane,Cycloalkane,2Ring,10,20,,,,140.27,nonane
Spiro[4.5]decane,000176-63-6,Alkane,Cycloalkane,2Ring,10,18,,,,138.254,nonane
1-Methyldecahydronaphthalene,002958-75-0,Alkane,Cycloalkane,2Ring,11,20,,,,152.281,nonane
"cis-Decalin, 2-syn-methyl-",1000155-85-6,Alkane,Cycloalkane,2Ring,11,20,,,,152.281,nonane
"cis-Decalin, 3-syn-methyl-",1000155-85-6,Alkane,Cycloalkane,2Ring,11,20,,,,152.281,nonane
Cyclopentylcyclohexane,001606-08-2,Alkane,Cycloalkane,2Ring,11,20,,,,152.281,nonane
"Naphthalene, decahydro-1,6-dimethyl-",1750-51-2,Alkane,Cycloalkane,2Ring,11,22,,,,154.297,nonane
"Naphthalene, decahydro-3-methyl-",002958-76-1,Alkane,Cycloalkane,2Ring,10,20,,,,140.27,nonane
